2025-06-16 14:28:39 - engine - INFO - Order created: ID=97f03b11-faf8-48c4-aa78-70eb8979ba88, Symbol=BTC-USDT, Type=ioc, Side=buy, Quantity=5, Price=100, Status=pending
2025-06-16 14:28:39 - engine - INFO - Order processed: ID=97f03b11-faf8-48c4-aa78-70eb8979ba88, Symbol=BTC-USDT, Type=ioc, Side=buy, Quantity=5, Price=100, Status=cancelled
2025-06-16 14:28:45 - engine - INFO - Order created: ID=1e46b0e8-93ef-457e-bcda-a87ea3bd6faf, Symbol=BTC-USDT, Type=ioc, Side=buy, Quantity=5, Price=100, Status=pending
2025-06-16 14:28:45 - engine - INFO - Order processed: ID=1e46b0e8-93ef-457e-bcda-a87ea3bd6faf, Symbol=BTC-USDT, Type=ioc, Side=buy, Quantity=5, Price=100, Status=cancelled
2025-06-16 14:28:54 - engine - INFO - Order created: ID=f64eee6f-93ea-4690-b065-39cef17d3d17, Symbol=BTC-USDT, Type=ioc, Side=sell, Quantity=5, Price=120, Status=pending
2025-06-16 14:28:54 - engine - INFO - Order processed: ID=f64eee6f-93ea-4690-b065-39cef17d3d17, Symbol=BTC-USDT, Type=ioc, Side=sell, Quantity=5, Price=120, Status=cancelled
2025-06-16 15:04:18 - engine - INFO - Order created: ID=b418847b-a1ef-4259-aeb8-30d09394deaf, Symbol=BTC-USDT, Type=market, Side=buy, Quantity=10, Price=None, Status=pending
2025-06-16 15:04:18 - engine - INFO - Order processed: ID=b418847b-a1ef-4259-aeb8-30d09394deaf, Symbol=BTC-USDT, Type=market, Side=buy, Quantity=10, Price=None, Status=partially_filled
2025-06-16 15:04:33 - engine - INFO - Order created: ID=9fca8f44-ffb8-462d-934d-2f44bdf75cfa, Symbol=BTC-USDT, Type=limit, Side=buy, Quantity=10, Price=100, Status=pending
2025-06-16 15:04:33 - engine - INFO - Order processed: ID=9fca8f44-ffb8-462d-934d-2f44bdf75cfa, Symbol=BTC-USDT, Type=limit, Side=buy, Quantity=10, Price=100, Status=open
2025-06-16 15:09:13 - engine - INFO - Order created: ID=fef3d9b5-e461-43de-9ccb-39626b48832c, Symbol=BTC-USDT, Type=limit, Side=buy, Quantity=1000, Price=100, Status=pending
2025-06-16 15:09:13 - engine - INFO - Order processed: ID=fef3d9b5-e461-43de-9ccb-39626b48832c, Symbol=BTC-USDT, Type=limit, Side=buy, Quantity=1000, Price=100, Status=open
2025-06-16 15:09:36 - engine - INFO - Order created: ID=5b7924a3-a019-42e0-ab09-8f5997a74a4a, Symbol=BTC-USDT, Type=ioc, Side=sell, Quantity=10, Price=80, Status=pending
2025-06-16 15:09:36 - engine - INFO - Order processed: ID=5b7924a3-a019-42e0-ab09-8f5997a74a4a, Symbol=BTC-USDT, Type=ioc, Side=sell, Quantity=10, Price=80, Status=filled
2025-06-17 17:18:50 - engine - INFO - Order created: ID=c631ca6a-a84c-4d2b-8364-e46d70f6afb2, Symbol=BTC-USDT, Type=limit, Side=buy, Quantity=100, Price=1000, Status=pending
2025-06-17 17:18:50 - engine - INFO - Order processed: ID=c631ca6a-a84c-4d2b-8364-e46d70f6afb2, Symbol=BTC-USDT, Type=limit, Side=buy, Quantity=100, Price=1000, Status=open
2025-06-17 17:18:52 - engine - INFO - Order created: ID=592b6d67-53f4-4194-b5e4-d1f76ba3c355, Symbol=BTC-USDT, Type=limit, Side=buy, Quantity=100, Price=1000, Status=pending
2025-06-17 17:18:52 - engine - INFO - Order processed: ID=592b6d67-53f4-4194-b5e4-d1f76ba3c355, Symbol=BTC-USDT, Type=limit, Side=buy, Quantity=100, Price=1000, Status=open
2025-06-17 17:25:02 - engine - INFO - Order created: ID=51ba5017-e97c-456f-af9d-e28cadb41a30, Symbol=BTC-USDT, Type=limit, Side=buy, Quantity=10, Price=100, Status=pending
2025-06-17 17:25:02 - engine - INFO - Order processed: ID=51ba5017-e97c-456f-af9d-e28cadb41a30, Symbol=BTC-USDT, Type=limit, Side=buy, Quantity=10, Price=100, Status=open
2025-06-17 17:25:39 - engine - INFO - Order created: ID=43fd0a54-697f-481c-967f-b1e0b30a04b3, Symbol=BTC-USDT, Type=limit, Side=sell, Quantity=10, Price=110, Status=pending
2025-06-17 17:25:39 - engine - INFO - Order processed: ID=43fd0a54-697f-481c-967f-b1e0b30a04b3, Symbol=BTC-USDT, Type=limit, Side=sell, Quantity=10, Price=110, Status=open
2025-06-17 17:26:08 - engine - INFO - Order created: ID=3d7c1f30-31d7-4e5c-bffe-39c59ff8c9bd, Symbol=BTC-USDT, Type=market, Side=sell, Quantity=10, Price=None, Status=pending
2025-06-17 17:26:08 - engine - INFO - Order processed: ID=3d7c1f30-31d7-4e5c-bffe-39c59ff8c9bd, Symbol=BTC-USDT, Type=market, Side=sell, Quantity=10, Price=None, Status=filled
2025-06-17 17:26:44 - engine - INFO - Order created: ID=34093088-09fc-44e6-a714-a8fa3ca27b10, Symbol=BTC-USDT, Type=ioc, Side=buy, Quantity=15, Price=95, Status=pending
2025-06-17 17:26:44 - engine - INFO - Order processed: ID=34093088-09fc-44e6-a714-a8fa3ca27b10, Symbol=BTC-USDT, Type=ioc, Side=buy, Quantity=15, Price=95, Status=cancelled
2025-06-17 17:27:00 - engine - INFO - Order created: ID=c356c4aa-3596-47c3-94fb-82f19fb1f55d, Symbol=BTC-USDT, Type=ioc, Side=sell, Quantity=5, Price=120, Status=pending
2025-06-17 17:27:00 - engine - INFO - Order processed: ID=c356c4aa-3596-47c3-94fb-82f19fb1f55d, Symbol=BTC-USDT, Type=ioc, Side=sell, Quantity=5, Price=120, Status=cancelled
2025-06-17 17:27:04 - engine - INFO - Order created: ID=f84ea76c-fbb9-42b6-b140-9a6b0c427538, Symbol=BTC-USDT, Type=ioc, Side=sell, Quantity=5, Price=120, Status=pending
2025-06-17 17:27:04 - engine - INFO - Order processed: ID=f84ea76c-fbb9-42b6-b140-9a6b0c427538, Symbol=BTC-USDT, Type=ioc, Side=sell, Quantity=5, Price=120, Status=cancelled
